Symbol,Name,Sector,Proportion of women in board,Proportion of women in upper management,Proportion of women in medium management,Proportion of women in lower management,Score
AWK,American Water Works Company Inc,Utilities,0.42416443103475465,0.40586925744131297,0.3367609236570474,0.2115271741060138,0.9401115253040015
AMP,Ameriprise Financial,Financials,0.5832082494014819,0.4510382936313753,0.002117180199108684,0.12111772439757675,0.9363289623622718
ABC,AmerisourceBergen Corp,Health Care,0.4629281210810415,1.0687602095504491,0.06767780547602409,0.6643738038013988,1.4442113116447874
AME,AMETEK Inc.,Industrials,0.7331944381747011,0.7556831512849915,0.10430959243619968,0.04228355400458611,1.3270125064936709
AMGN,Amgen Inc.,Health Care,1.8820416996218747,0.09892395205795956,0.6218226727480133,0.5511496481918157,2.4275446968939978
APH,Amphenol Corp,Information Technology,1.3062208393663883,1.1529865450872692,0.1401634416646012,0.9184550069059878,2.4589296438315738
ADI,Analog Devices Inc.,Information Technology,0.4938872854585814,0.2103120951493715,0.6064354025185505,1.2087418815221669,1.3069460177790668
ANSS,ANSYS,Information Technology,0.5378552054966084,0.5474743586834921,1.38589073681658,0.13315380912197713,1.653978767719936
ANTM,Anthem,Health Care,2.89291195533668,0.4201773607364148,0.07026452419657181,0.2366044364057087,3.2931497008721693
AON,Aon plc,Financials,0.2423414837075304,0.16293663211056605,0.010451699730897046,0.48801373283186705,0.5080270958999353
APA,Apache Corporation,Energy,0.2531691311383307,0.27782320516268644,0.502580660075739,0.3122573556247328,0.7926129114775006
AIV,Apartment Investment & Management,Real Estate,0.4943779581235301,0.3902889243126402,0.2792694253472384,0.4411898062889195,1.0395718597026733
AAPL,Apple Inc.,Information Technology,0.4984960578240052,0.5416458787204232,0.046785483831676106,1.2004741087817974,1.2611831474786788
AMAT,Applied Materials Inc.,Information Technology,0.8961626399140529,0.2943892333481464,0.4086780234430668,0.4899668854887701,1.4535641806259196
APTV,Aptiv PLC,Consumer Discretionary,0.9614256290103412,0.6872939876423989,0.3780396373193902,0.22536154562717606,1.6991597027078684
ADM,Archer-Daniels-Midland Co,Consumer Staples,0.14172135732241106,0.6247301418784439,0.4213099930071512,0.2930633469895709,0.8776064572377685
ANET,Arista Networks,Information Technology,0.011105630181946366,0.16650487746888665,0.6054081696493492,0.8341404820316721,0.6806052738443432
AJG,Arthur J. Gallagher & Co.,Financials,0.29068681507138705,0.7458417842773273,0.5495849940115171,0.09576773044260456,1.116298880204056
AIZ,Assurant,Financials,0.6136243435059262,0.4036046491698347,1.2001112775587564,0.4179517425553965,1.6215887594708076
T,AT&T Inc.,Communication Services,0.37113420771958394,0.3789300027455828,0.34262927509632146,0.2782993796525685,0.8911896610854232
ATO,Atmos Energy,Utilities,0.584110961647026,0.31747731267460183,0.4453596023916269,0.249364464547659,1.1038342210793586
ADSK,Autodesk Inc.,Information Technology,0.10310407106360524,0.1997410489222493,0.5854541021004209,0.41217181411349496,0.6593014005934387
ADP,Automatic Data Processing,Information Technology,0.93870551461036,0.024508334982947317,0.9763753435108332,1.8766790020411757,2.0070527214661924
AZO,AutoZone Inc,Consumer Discretionary,0.27026728822943724,0.6328311413382204,0.8210646205035889,0.4297006363340862,1.2526915883182117
AVB,AvalonBay Communities,Real Estate,0.3907376875363353,0.3303134486079407,0.3816092995623999,0.4976249865904261,0.9620492473202216
AVY,Avery Dennison Corp,Materials,0.6221993707516167,0.4413697496272306,1.317990214828331,1.0175109217672609,1.8954065794350217
BKR,Baker Hughes Co,Energy,0.3001565248233449,0.3089908005428906,0.27579925180419607,0.22133857111132935,0.7207512824388651
BLL,Ball Corp,Materials,1.1338647135723452,0.7826480846648547,0.7168293185003207,0.911848128767606,2.3136874707181856
BAC,Bank of America Corp,Financials,0.22941031162370834,0.17679657681172276,0.518921771373815,0.8082174402049469,0.8550940331403059
BAX,Baxter International Inc.,Health Care,1.4168540465235635,0.14564768320067878,0.2394601737229243,0.5679354469168335,1.8089181457005508
BDX,Becton Dickinson,Health Care,0.9438225225774222,0.9069054101559394,0.3380968957932894,0.2862420989881954,1.833577387279683
BRK.B,Berkshire Hathaway,Financials,0.6530968230683725,0.3538942665478993,0.6237595691649878,0.2945298508424362,1.3010615494871267
BBY,Best Buy Co. Inc.,Consumer Discretionary,0.7481366974841812,0.3380944786863364,0.40618236367983424,0.4060251424532262,1.3097015571405017
BIO,Bio-Rad Laboratories,Health Care,0.6362064525932407,0.7860466655612928,0.7540932024654314,1.0686260336329612,1.8840735298087496
BIIB,Biogen Inc.,Health Care,1.5094719535451362,0.7566121753691678,1.1643905732945188,1.802310390760553,3.1619888801789786
BLK,BlackRock,Financials,0.965789667883056,1.16922950224693,0.2462985758080193,0.2678125891832138,1.9877433841148806
BA,Boeing Company,Industrials,0.022668630069045848,0.5301564163593111,0.8284579784469024,0.463473657676715,0.9470492080470293
BKNG,Booking Holdings Inc,Consumer Discretionary,0.2726118628975822,0.7855725108743654,0.7954561507181962,0.1716607573599136,1.27173892307671
BWA,BorgWarner,Consumer Discretionary,0.5438188948777122,0.8308648131269818,0.4199937904373995,0.8136763762409821,1.5795240721575938
BXP,Boston Properties,Real Estate,0.3865349320035862,0.2974322542155909,0.40829637749586734,0.3528212983963286,0.9047320882213321
BSX,Boston Scientific,Health Care,0.46006242235118,0.9776282608107912,1.154875638518011,0.35177573431209497,1.8273727444713679
BMY,Bristol-Myers Squibb,Health Care,0.5408460687042991,0.7049116763215519,1.14883555103451,0.23129826634131906,1.6780914975490362
AVGO,Broadcom Inc.,Information Technology,0.29071685706958417,1.6124422577013249,0.11209368959600496,0.056473760176349315,1.4924154103114187
BR,Broadridge Financial Solutions,Information Technology,0.6178857540735722,0.3046549967769502,0.22832198802541606,0.14901344826665666,0.9900092803101423
BF.B,Brown-Forman Corp.,Consumer Staples,0.2877043501227778,0.41367340226102495,0.3991297914538831,0.4362140403952294,0.9077048395510057
CHRW,C. H. Robinson Worldwide,Industrials,0.4406499946504752,0.5618647563310604,0.3118919371521863,0.26316612822924984,1.0688511311270856
COG,Cabot Oil & Gas,Energy,0.3483361147348897,0.13772891768367798,0.4433388931268835,0.3365687698121421,0.7673864346205487
CDNS,Cadence Design Systems,Information Technology,0.3506429277936892,0.6299775431012804,0.0621366959609744,1.8594203524487252,1.38052166167969
CPB,Campbell Soup,Consumer Staples,0.2693544080562773,0.3767858155671042,0.2411687439388664,0.5173589748728735,0.8088965433845454
COF,Capital One Financial,Financials,0.08899554482006641,0.05157430079956213,0.09478561090734257,0.5847452426113645,0.34791393361684053
CAH,Cardinal Health Inc.,Health Care,1.1494361579536336,1.3540925846108292,0.6537166337957486,0.6628746509633373,2.6230216793680894
KMX,Carmax Inc,Consumer Discretionary,0.6995382005101634,0.7332416756413483,0.6595468879249797,0.18164243116365916,1.597073546770695
CCL,Carnival Corp.,Consumer Discretionary,0.5753421676339616,0.6074652323864883,0.5501883396566143,0.7091602767615708,1.4884100831612816
CARR,Carrier Global,Industrials,0.13011600653314276,0.06812865855252831,0.8685810869337425,0.11889144642712862,0.6477640449149223
CAT,Caterpillar Inc.,Industrials,1.1689781185370247,0.2190309961226795,0.491065961733802,0.5215026330640276,1.7242835866090096
CBOE,Cboe Global Markets,Financials,0.5786073009242498,0.21571658108097266,0.6421243901633952,0.08378631273561851,1.075806996583314
CBRE,CBRE Group,Real Estate,0.4229846390288649,0.4251987662347473,0.4093727434153242,0.4705385857258985,1.0664717228186196
CDW,CDW,Information Technology,0.007203198103301099,0.2634920838575481,0.4179626531151346,0.22254427706814747,0.46739226648159626
CE,Celanese,Materials,0.6605680238213802,0.02403414687462357,0.2955446757755653,0.19960875089797772,0.8850468897907927
CNC,Centene Corporation,Health Care,0.28098791404822443,0.14878338837129262,0.6288038387059469,0.13038993321521308,0.7386551852256666
CNP,CenterPoint Energy,Utilities,0.4398562632154561,0.3129666137171388,0.17247152735343566,0.40432023570847947,0.866464727206715
CTL,CenturyLink Inc,Communication Services,0.2419478969772311,0.4138789222904239,0.3360110106004384,0.4231692181350784,0.8266194133212705
CERN,Cerner,Health Care,1.9282262518577495,0.3873645683739669,0.7816233331233868,0.9826833853495734,2.8849981318860918
CF,CF Industries Holdings Inc,Materials,1.134368571608496,0.6056156537247509,0.6401365570518145,0.6778405544092694,2.0817199740645096
SCHW,Charles Schwab Corporation,Financials,0.18640580106271404,0.03176287968832739,0.17073509400450754,0.4669287864359183,0.43408599977757245
CHTR,Charter Communications,Communication Services,0.5993264921846693,0.3369182585829496,0.3909917536207629,0.22830310263329784,1.0991560807931047
CVX,Chevron Corp.,Energy,0.2394766453102147,0.2143370039390275,0.3102016159004081,0.36737631858976094,0.6548262515946662
CMG,Chipotle Mexican Grill,Consumer Discretionary,0.4907484111920735,0.23301513781444616,0.4370876718379843,0.8479472578908432,1.126787020948431
CB,Chubb Limited,Financials,0.4435908311601801,0.15253881647628945,0.4936531729452195,0.19836702346817486,0.8567046962066449
CHD,Church & Dwight,Consumer Staples,0.43089653247313214,0.4661775817253703,0.31828489846927305,0.41706080286045816,1.0414815297736653
CI,CIGNA Corp.,Health Care,0.8345321859128942,0.6711685498132421,1.2047860491794724,0.5488438529866884,2.0713963512679063
CINF,Cincinnati Financial,Financials,0.0501158438338804,0.8217480258548415,0.16297412427286914,0.38907043324108426,0.8235476540410293
CTAS,Cintas Corporation,Industrials,0.7919704969953314,1.2754076606795994,0.005445868456980196,0.021722229380211237,1.6939954625136042
CSCO,Cisco Systems,Information Technology,0.40631690688492494,0.14372857507167774,0.2586991641253468,0.12920167627885132,0.6750369943814282
C,Citigroup Inc.,Financials,0.08145234419276393,1.1006583256794957,0.3981785201348018,0.17518119093297133,1.1035567895157032
CFG,Citizens Financial Group,Financials,0.4198952879972937,0.6582752898725256,0.4928693324026248,0.2955978853805322,1.2158020227235335
CTXS,Citrix Systems,Information Technology,1.4535760091944432,0.4828691400241345,0.27331090699991223,1.136507385080778,2.2691920762355267
CME,CME Group Inc.,Financials,1.23590157778433,0.1679701535485064,0.5592696044110486,0.20301382085183128,1.6940196337293583
CMS,CMS Energy,Utilities,0.42662792260168997,0.26423712646197145,0.3003100534453235,0.310477741253068,0.8548922602236522
KO,Coca-Cola Company,Consumer Staples,0.4428723583617772,0.39304353779584267,0.3813691111427197,0.24648548653114125,0.9826330363495692
CTSH,Cognizant Technology Solutions,Information Technology,0.423540235155058,1.052611692212772,0.1091231359674202,0.14535582648708933,1.2585367356338353
CL,Colgate-Palmolive,Consumer Staples,0.3546152818140719,0.5679140186948656,0.2819714503091378,0.21874631291020166,0.9587647139281072
CMCSA,Comcast Corp.,Communication Services,0.4117371150852515,0.35310221830223965,0.10550002754303643,0.30026808701094704,0.8017391077716216
CMA,Comerica Inc.,Financials,1.0879436030217224,0.6126941884891303,0.02328059496232679,0.027635524699142818,1.5367604898550198
CAG,Conagra Brands,Consumer Staples,0.4241897568454845,0.3749039038389809,0.3301630593006473,0.3888023624161021,0.9683447279079254
CXO,Concho Resources,Energy,0.2941819734318548,0.4778969702815648,0.4403546657479551,0.2677370009029823,0.9292082857738224
COP,ConocoPhillips,Energy,0.27276467333148713,0.2353025988587477,0.2074449817688063,0.21747358535308514,0.6064410590229392
ED,Consolidated Edison,Utilities,0.2639418047509221,0.2812528208965803,0.3789090920302405,0.3480167577703881,0.754678352724765
STZ,Constellation Brands,Consumer Staples,0.36080734526441177,0.4591985876576036,0.5553367960573203,0.20307553194359396,1.0208374142364727
CPRT,Copart Inc,Industrials,0.7227411314927957,0.5829085188729325,0.5352586899981526,0.08306622789540963,1.4233263080715477
GLW,Corning Inc.,Information Technology,1.1867926184900304,0.015821573126978558,0.1705698087980452,0.810612221406855,1.5263362904999944
CTVA,Corteva,Materials,0.3579954216330687,0.4294717008410582,0.4740043874377646,0.35544511972154863,1.0022613418571562
COST,Costco Wholesale Corp.,Consumer Staples,0.4386706803367413,0.3783435065036739,0.44822526352499104,0.4166617944436172,1.0526223049848937
COTY,Coty Inc,Consumer Staples,0.26977130017668016,0.3663213860781424,0.4577368698233371,0.4945008923625584,0.903414973051816
CCI,Crown Castle International Corp.,Real Estate,0.4109713591141969,0.291255998836075,0.2136464480580604,0.24826928647065696,0.7961545682696768
CSX,CSX Corp.,Industrials,1.6811646735987904,1.1861581596033588,0.2702029710241076,0.17913570257540928,2.7003175816058183
CMI,Cummins Inc.,Industrials,0.04914020183483858,1.099859306190578,0.4892514807234081,0.513021518683492,1.2175739121349947
CVS,CVS Health,Health Care,1.2728982521169303,1.6239696820916936,0.019242025409897168,0.5783324438843302,2.5927977754513636
DHI,D. R. Horton,Consumer Discretionary,0.7001604808312624,0.4541036188322544,0.24788302856176536,0.23739333798682224,1.2131925296907697
DHR,Danaher Corp.,Health Care,0.7359111767636817,1.053370025958562,0.026160390619608957,0.09905011459219937,1.5160654246221394
DRI,Darden Restaurants,Consumer Discretionary,0.5237508046053636,0.24992943767067702,0.4307806797486015,0.3779926902884355,1.0274895579356689
DVA,DaVita Inc.,Health Care,0.6423995355954318,0.5220638293400282,0.174881565531112,1.5252824697313438,1.5528697398184106
DE,Deere & Co.,Industrials,0.6470933643939135,0.6359373030935245,1.006264554108122,0.2810555190283025,1.6796984093219323
DAL,Delta Air Lines Inc.,Industrials,0.012266983935972477,0.2953907898153193,2.1407565709908405,0.7009617344403558,1.499707342634223
XRAY,Dentsply Sirona,Health Care,0.29672868638422073,0.03423596716773425,1.1859731158256588,0.377795659110865,1.0270191190477236
DVN,Devon Energy,Energy,0.20395924450510067,0.3807665128012573,0.25344824509046626,0.42425217360679796,0.7244955780932533
DXCM,DexCom,Health Care,0.3323341503160439,1.02786729601561,1.2322981920573757,0.00260620387050714,1.6687722147168107
FANG,Diamondback Energy,Energy,0.16898689291467658,0.3873376022937997,0.2667342644652485,0.294781928167692,0.6619249252032682
DLR,Digital Realty Trust Inc,Real Estate,0.4349817298424224,0.2642273690922384,0.3595337573270324,0.43132829323263294,0.9291062548402953
DFS,Discover Financial Services,Financials,0.06946540572392934,0.8068064548420898,0.1341203624928481,0.2640593136822339,0.7805078994644863
DISCA,Discovery Inc. (Class A),Communication Services,0.4257017182607253,0.3467835772092774,0.3489736655050469,0.5459461555048831,1.0067209017112078
DISCK,Discovery Inc. (Class C),Communication Services,0.2515218509274144,0.18599163105489247,0.4905166701328167,0.30346547189369066,0.7180139693003547
DISH,Dish Network,Communication Services,0.3500087693484561,0.25026003881611736,0.4265860449791309,0.3811972188509399,0.8528429846645856
DG,Dollar General,Consumer Discretionary,0.4974198842843763,0.7189003850469333,0.11131292124214703,0.5151538518272551,1.2108527699864797
DLTR,Dollar Tree,Consumer Discretionary,0.4622455961099211,0.3831633190991836,0.4966254170507358,0.3793643873847724,1.0925819442201492
D,Dominion Energy,Utilities,0.12598997171836362,0.2357005535206499,0.19905812344310647,0.1815571661180492,0.44497657073978647
DPZ,Domino's Pizza,Consumer Discretionary,0.5427165578552721,0.5930050021939546,0.6310885066408138,0.5733552369179179,1.4453708837868224
DOV,Dover Corporation,Industrials,0.23469993378779705,0.7610045446823157,0.12048853568173325,0.37827555036974697,0.9411300480172088
DOW,Dow Inc.,Materials,1.363780269668917,0.7794562093268569,0.8033405214715656,1.1915485204627283,2.6685344330723177
DTE,DTE Energy Co.,Utilities,0.2452518016409511,0.37045672535257,0.35138498932137624,0.3973718322402149,0.7994755537205027
DUK,Duke Energy,Utilities,0.16797386310021942,0.4191791423738603,0.2725337939575905,0.2170943516461752,0.6627944652345693
DRE,Duke Realty Corp,Real Estate,0.3699958988690185,0.4974101551829248,0.2287231052292104,0.4444050899676628,0.96586608710197
DD,DuPont de Nemours Inc,Materials,0.7103778229852495,0.324979572426497,0.9868834625990408,0.7692275199968848,1.6620735109823832
DXC,DXC Technology,Information Technology,0.10602213868281818,0.521632863090156,0.4315325694987292,0.2406503935907727,0.7591265456725238
ETFC,E*Trade,Financials,0.6588490406965136,1.0981573579851105,0.4080538341374061,1.170035949578822,1.9825968932284406
EMN,Eastman Chemical,Materials,1.1297186491705524,1.383953133560001,0.2520287354152875,0.7683129266803193,2.4549940883742924
ETN,Eaton Corporation,Industrials,0.14352421943216728,0.2433305900123641,0.2801737917186298,1.6047159030035838,0.9353572992012121
EBAY,eBay Inc.,Consumer Discretionary,0.2387781858465009,0.45730324896460794,0.6035497971260169,0.5142589771260625,1.0149430518225535
ECL,Ecolab Inc.,Materials,0.9752691719891262,0.8445393450505909,0.2513993960836966,0.9880608469459284,1.9885646656501668
EIX,Edison Int'l,Utilities,0.2280455374312688,0.3145911671867136,0.4041302256628472,0.2522873453350774,0.7260106708939151
EW,Edwards Lifesciences,Health Care,0.13313193609547702,0.543120621586029,1.491849384487255,1.211108650491676,1.6225736585968276
EA,Electronic Arts,Communication Services,0.4046550508244561,0.5731387958562234,0.4698088746386696,0.4958166000100793,1.189501625246171
EMR,Emerson Electric Company,Industrials,0.058434963803369926,0.548938087716073,0.1446126598802602,0.09790036758980593,0.5443680654216929
ETR,Entergy Corp.,Utilities,0.1987150252272928,0.24897165963516105,0.22624725433297346,0.23120251089038724,0.5554795674055084
EOG,EOG Resources,Energy,0.25887873687006635,0.5229437176585278,0.3509079438586527,0.23906089382471585,0.8721115793077769
EFX,Equifax Inc.,Industrials,0.436143315558476,1.81178506929798,0.8633509744495729,1.1105010749766993,2.4692186737848583
EQIX,Equinix,Real Estate,0.257756840338978,0.3434006040785882,0.4709367163306564,0.37912199049219897,0.8473422185069777
EQR,Equity Residential,Real Estate,0.3616997384933026,0.3463206994759497,0.5210497587807649,0.462275902165985,1.0033318781666454
ESS,Essex Property Trust Inc.,Real Estate,0.3680811372008902,0.5226669166224949,0.2495061939150938,0.3559471296270602,0.9654852146823015
EL,Estée Lauder Companies,Consumer Staples,0.4206095764417221,0.5271391008592667,0.3988049684151621,0.5404095109897362,1.1511322845477105
RE,Everest Re Group Ltd.,Financials,0.2781246884674988,0.3764428879712343,0.17425411870350582,0.6662106954616388,0.8286249780376074
EVRG,Evergy,Utilities,0.3090352001579047,0.22846353371061806,0.25714756672304123,0.4993112470559512,0.7473268312336433
ES,Eversource Energy,Utilities,0.5201265962044094,0.1958408839861542,0.25136906559718963,0.2959747447966589,0.8716921712323097
EXC,Exelon Corp.,Utilities,0.4376169818095013,0.3333049541096645,0.30658659192792675,0.4758640873270236,0.9669829718483369
EXPE,Expedia Group,Consumer Discretionary,0.11969125866834117,0.6225530839544787,0.34679561434255785,0.4781358109397785,0.8723169678896887
EXPD,Expeditors,Industrials,0.17261256355901744,0.4506884978315594,0.8093769336325214,1.9988691416281392,1.4924437213458113
EXR,Extra Space Storage,Real Estate,0.6460940262115094,0.3262856369542313,0.31065168633423096,0.3929528118476923,1.1477056588008945
XOM,Exxon Mobil Corp.,Energy,0.3368697901052065,0.2987840965284567,0.18611835624003525,0.337476064257526,0.7403206550724016
FFIV,F5 Networks,Information Technology,0.2058501692610503,1.8520344638523505,0.7954211408907642,0.2536547973213185,1.9760813035994733
FB,Facebook Inc.,Communication Services,0.4096598205022467,0.4516429080871147,0.32238045292254386,0.3150387781148939,0.981511716058967
FAST,Fastenal Co,Industrials,0.23011607431280084,0.44794451848497496,0.8912553944064314,0.9934601375455352,1.2873429757191597
FRT,Federal Realty Investment Trust,Real Estate,0.4938868652094154,0.4092995931904001,0.3679032258144885,0.4993911517810217,1.1141655388842462
FDX,FedEx Corporation,Industrials,1.3034679900113568,0.037410220693425256,0.3225021848228318,1.3956292359659763,1.9095950076979633
FIS,Fidelity National Information Services,Information Technology,0.986021769429132,0.589013874102389,0.7726497219016237,0.9551265677036086,2.0711943125626986
FITB,Fifth Third Bancorp,Financials,0.5252518636164905,0.4439817036710706,0.3423064944031079,0.20424460904964886,1.0684656861026884
FRC,First Republic Bank,Financials,0.3190411373757208,0.08778480644025599,0.2660086018197229,0.2061837865141304,0.5753499387480006
FE,FirstEnergy Corp,Utilities,0.476912144930512,0.3144351894653805,0.3330458675311975,0.3484854037585139,0.9680853324494313
FISV,Fiserv Inc,Information Technology,1.5895434845629244,0.0017240108252721126,0.3769043462161568,0.5408504945386089,1.941457613610276
FLT,FleetCor Technologies Inc,Information Technology,0.25985215913610593,0.4616248672317471,1.1735351071703708,1.226432386067804,1.5376868356038556
FLIR,FLIR Systems,Information Technology,0.5624914957611225,0.2573156739674149,1.4319492644812797,0.6764826032294714,1.6615318807477941
FLS,Flowserve Corporation,Industrials,0.4579392597020816,0.16402965168639433,0.5762687708065583,0.10653710872209447,0.8928555339024652
FMC,FMC Corporation,Materials,0.7083494659630649,1.069733221218376,1.1393554113317554,2.6453031205927893,2.8204313626596424
F,Ford Motor Company,Consumer Discretionary,0.4514988632605597,0.2886518931569552,0.3839967546000879,1.0184900328486959,1.1511005756250812
FTNT,Fortinet,Information Technology,0.6779139286346029,1.0811988226300753,1.000063921199299,0.7507648701817285,2.1600145261298236
FTV,Fortive Corp,Industrials,0.3392579362325711,1.7305087325357706,0.6914178891576429,0.5698141908624028,2.067267250845153
FBHS,Fortune Brands Home & Security,Industrials,1.1464741602283763,0.20078705427024074,0.4561977859585872,0.6934837639152445,1.7231691203714117
FOXA,Fox Corporation (Class A),Communication Services,0.4371197573273676,0.2507789917228266,0.4197534980542925,0.4419424782106368,0.9551245440236835
FOX,Fox Corporation (Class B),Communication Services,0.3521031637246975,0.330417486020714,0.5181472909698499,0.3912694235060872,0.9598498764759484
BEN,Franklin Resources,Financials,0.16389870215898658,0.4080843424711098,0.6890930636971203,0.6316228880995087,0.9835911401671762
FCX,Freeport-McMoRan Inc.,Materials,1.5806479962934237,0.9480487124746321,0.466621778042391,1.380829586900575,2.8918418601170344
GPS,Gap Inc.,Consumer Discretionary,0.6290492525799563,0.5387427390331277,0.4735992277677031,0.3655980019996599,1.3526481843868952
GRMN,Garmin Ltd.,Consumer Discretionary,0.774441962675861,0.583057872946802,0.6777568187730393,0.8088199662938069,1.764106873013284
IT,Gartner Inc,Information Technology,0.3178555669929608,0.3239780794725245,0.08772362672405476,0.2911065683735781,0.6758340064978288
GD,General Dynamics,Industrials,0.5275719177835745,0.4482165245047583,0.2922631834128652,0.16958666610040804,1.0383310764734603
GE,General Electric,Industrials,0.7521510946164092,0.06426928059841841,0.5969245885563057,1.46739733086035,1.5358210845715599
GIS,General Mills,Consumer Staples,0.3171150975685694,0.3591753521151915,0.3144847343359473,0.43415203881749376,0.8560258228624253
GM,General Motors,Consumer Discretionary,0.5290849023452903,0.3306760851567213,0.4620320579121778,0.3971209127438703,1.1107104647342452
GPC,Genuine Parts,Consumer Discretionary,0.3532912046922063,0.3327579578385107,0.3466886983157207,0.7216594092635067,0.9760639471160761
GILD,Gilead Sciences,Health Care,0.29714799879999937,1.7492585827706142,0.004557569201785404,0.8436309633983182,1.7769970803598176
GPN,Global Payments Inc.,Information Technology,0.20667475388393872,1.3513277908427488,1.4929201089268704,0.5145977640134607,2.053443591141336
GL,Globe Life Inc.,Financials,1.0119811119701647,0.4575884031443938,0.08227719263438332,0.7423915046992912,1.5961490418982194
GS,Goldman Sachs Group,Financials,0.9211393376322192,0.2234627792723644,0.13883519437993105,0.37070665669911,1.2581928773225728
GWW,Grainger (W.W.) Inc.,Industrials,0.347967974817412,0.4149777410094001,0.24639249605648897,0.9702093164284662,1.0527114364807764
HRB,H&R Block,Consumer Discretionary,0.4115040808090626,0.6597837350022757,0.6357209133811889,0.36553924705053215,1.3008749261164096
